word,beta,psi,highlight
standing,0.5835288081787466,3.351924888607589,none
support,0.9545214184443749,5.681538370549166,none
discussions,0.26630135380248954,3.2893055486018064,none
issues,0.7684333131542491,4.218493930733781,none
people’s,0.9056696031181082,3.3128343646289,none
living,0.9714265892287616,2.669305152143509,none
therefore,0.18302165435028056,2.942692110562011,none
officials,0.7413304026832102,4.014323578166916,none
charge,0.8229793799649158,2.3025641883885353,none
took,-0.27110730419928836,3.34668863401985,none
october,0.766149680902701,4.8664467013631905,none
first,0.4768774896279968,4.9693613086599875,none
distributed,-1.4688659706050844,1.7362629920746462,none
meeting,0.47721630566891554,4.914042759125255,none
now,0.3082597275504226,2.766118885948157,none
considerably,-1.1967667781713038,2.1737311796878678,none
awareness,-0.13640488448033092,3.4581114551937753,none
university,1.314443051490714,2.9874581235849442,none
today,-0.7071172129836523,2.2053693990959964,none
see,-1.7887934719117908,2.997663363749592,none
front,-0.8013798241139167,2.5569737843302973,none
line,0.5925891279330674,3.7233934779996796,none
working,0.07180166683553364,4.29869779633423,none
work,-0.10582962496608452,3.9216494579784094,none
organization,0.7533815477598358,4.005783902959593,none
deep,-1.2000351376448537,3.2443045383203755,none
trust,1.1461041989600844,3.626212158245121,none
can,0.6280451763074024,4.6763740969663585,none
make,0.1327536368702286,3.9599392389827255,none
members,2.0793332876455164,4.497233881856064,none
started,0.07323486689238101,3.1011221098815036,none
promote,0.03911686546996774,3.927930374422345,none
century,-1.2039868519605683,2.8494151960985783,none
21st,-3.0665550099654,1.3335387868747914,none
must,0.2309558370785618,2.620296252438923,none
present,-0.7912279984325791,3.4566653349704235,none
global,-0.3974679849694802,4.698772671077998,none
situation,-0.2252736961927506,4.461696546037392,none
major,0.6113393199019611,4.800047100950024,none
state,-0.7767478281419004,4.185068258096471,none
circumstances,-0.6809075148216609,2.186162187497519,none
need,0.6154703281420953,3.5856232028551513,none
discuss,1.6635866154387862,2.401242590572731,none
greater,-0.39540629199983524,3.642523265512283,none
prosperity,1.027230095890804,2.6295707417720573,none
throughout,-0.34142567199788887,3.2301556696214346,none
world,0.39242206399978513,4.58715383538017,none
pursue,-0.12861507356339763,4.011910254114694,none
overview,-1.6333501379812105,1.8640902710996956,none
increasingly,-1.4948086932997438,2.3955990434157886,none
various,0.4260771446793744,5.074331027835165,none
challenges,-0.9698773480108359,4.2226487014864125,none
destabilizing,-2.875574917201577,1.134193308738002,none
factors,-1.0416075371710618,2.950600775673203,none
acute,-2.8200241699878057,1.0754058290558317,none
uncertain,-2.9842538922183968,1.2481380867321348,none
rights,1.8282239396356024,3.353614189062285,none
increase,0.03279892295958235,4.6923008071388645,none
number,0.3545324033168628,4.756213013317362,none
so-called,-0.18778522826911428,2.1111605611473867,none
zone,0.5436184570651098,3.534681993226846,none
