"","file_names","country_name","year","title","language"
"268","finland_2009_SecurityAndDefencePolicy.pdf","finland","2009","Security And Defence Policy","eng"
"269","finland_2010_SecurityStrategyForSociety.pdf","finland","2010","Security Strategy For Society","eng"
"270","finland_2012_SecurityAndDefencePolicy.pdf","finland","2012","Security And Defence Policy","eng"
"271","finland_2013_CyberSecurityStrategy.pdf","finland","2013","Cyber Security Strategy","eng"
"272","finland_2013_ReviewOnFinlandsSecurityCooperation.pdf","finland","2013","Review On Finlands Security Cooperation","eng"
"273","finland_2016_ForeignandSecurityPolicy.pdf","finland","2016","Foreignand Security Policy","eng"
"274","finland_2017_CyberSecurityStrategy.pdf","finland","2017","Cyber Security Strategy","eng"
"275","finland_2017_DefenceReport.pdf","finland","2017","Defence Report","eng"
"276","finland_2017_SecurityStrategyForSociety.pdf","finland","2017","Security Strategy For Society","eng"
"277","finland_2020_ForeignAndSecurityPolicy.pdf","finland","2020","Foreign And Security Policy","eng"
"278","finland_2021_DefenceReport_noneng.pdf","finland","2021","Defence Report","noneng"
"279","finland_2021_DefenceReport.pdf","finland","2021","Defence Report","eng"
"280","france_1972_DefenseWhitePaper_noneng.pdf","france","1972","Defense White Paper","noneng"
"281","france_1994_DefenseWhitePaper_noneng.pdf","france","1994","Defense White Paper","noneng"
"282","france_2008_DefenceWhitePaper_noneng.pdf","france","2008","Defence White Paper","noneng"
"283","france_2008_DefenceWhitePaper.pdf","france","2008","Defence White Paper","eng"
"284","france_2013_DefenseWhitePaper_noneng.pdf","france","2013","Defense White Paper","noneng"
"285","france_2013_DefenseWhitePaper.pdf","france","2013","Defense White Paper","eng"
"286","france_2016_OverseasTerritoriesSecurityPlan_noneng.pdf","france","2016","Overseas Territories Security Plan","noneng"
"287","france_2017_DefenseAndNationalSecurityStrategicReview_noneng.pdf","france","2017","Defense And National Security Strategic Review","noneng"
"288","france_2017_DefenseAndNationalSecurityStrategicReview.pdf","france","2017","Defense And National Security Strategic Review","eng"
"289","france_2017_GuianaLocalSecurityPlan_noneng.pdf","france","2017","Guiana Local Security Plan","noneng"
"290","france_2021_StrategicUpdate.pdf","france","2021","Strategic Update","eng"
"291","gambia_2019_NationalSecurityPolicy.pdf","gambia","2019","National Security Policy","eng"
"292","georgia_2005_NationalSecurityConcept.pdf","georgia","2005","National Security Concept","eng"
"293","georgia_2007_NationalMilitaryStrategy.pdf","georgia","2007","National Military Strategy","eng"
"294","georgia_2010_GeorgianNationalMilitaryStrategy.pdf","georgia","2010","Georgian National Military Strategy","eng"
"295","georgia_2010_ThreatAssessment.pdf","georgia","2010","Threat Assessment","eng"
"296","georgia_2012_NationalSecurityConcept.pdf","georgia","2012","National Security Concept","eng"
"297","georgia_2013_WhitePaper_noneng.pdf","georgia","2013","White Paper","noneng"
"298","georgia_2014_NationalMilitaryStrategy.pdf","georgia","2014","National Military Strategy","eng"
"299","georgia_2014_WhitePaper_noneng.pdf","georgia","2014","White Paper","noneng"
"300","georgia_2017_StrategicDefenseReview.pdf","georgia","2017","Strategic Defense Review","eng"
"301","georgia_2017_WhitePaper_noneng.pdf","georgia","2017","White Paper","noneng"
"302","georgia_2020_NationalSecurityConcept_noneng.pdf","georgia","2020","National Security Concept","noneng"
"303","germany_1994_WhitePaper.pdf","germany","1994","White Paper","eng"
"304","germany_2003_DefencePolicyGuidelines.pdf","germany","2003","Defence Policy Guidelines","eng"
"305","germany_2004_Streitkraeftekonzept_noneng.pdf","germany","2004","Streitkraeftekonzept","noneng"
"306","germany_2006_WhitePaper.pdf","germany","2006","White Paper","eng"
"307","germany_2008_SecurityStrategy.pdf","germany","2008","Security Strategy","eng"
"308","germany_2009_EuropeanSecurityAndDefencePolicy.pdf","germany","2009","European Security And Defence Policy","eng"
"309","germany_2011_DefencePolicyGuidelines.pdf","germany","2011","Defence Policy Guidelines","eng"
"310","germany_2013_ForeignAndSecurityPolicy.pdf","germany","2013","Foreign And Security Policy","eng"
"311","germany_2013_KonzeptionDerBundeswehr_noneng.pdf","germany","2013","Konzeption Der Bundeswehr","noneng"
"312","germany_2016_WhitePaper_noneng.pdf","germany","2016","White Paper","noneng"
"313","germany_2016_WhitePaper.pdf","germany","2016","White Paper","eng"
"314","germany_2023_NationalSecurityStrategy.pdf","germany","2023","National Security Strategy","eng"
"315","greece_1997_WhitePaper.pdf","greece","1997","White Paper","eng"
"316","greece_2007_SecurityPolicy.pdf","greece","2007","Security Policy","eng"
"317","greece_2014_WhitePaper_noneng.pdf","greece","2014","White Paper","noneng"
"318","greece_2022_StrategicPlan.pdf","greece","2022","Strategic Plan","eng"
"319","guatemala_2001_NationalDefenseBook_noneng.pdf","guatemala","2001","National Defense Book","noneng"
"320","guatemala_2003_NationalDefenceBook_noneng.pdf","guatemala","2003","National Defence Book","noneng"
